Organism Name	Literature Reference	TaxID	Domain	Phylum	Class	Order	Family	Genus	Species
Acidimicrobium	https://doi.org/10.1002/mbo3.615	53634	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	NULL
Acidithiobacillus	https://doi.org/10.1016/j.chemosphere.2019.05.185	119977	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	NULL
Aeribacillus	https://doi.org/10.1128/mra.00224-20	1055323	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Aeribacillus	NULL
Anaerobranca	https://doi.org/10.1099/ijsem.0.004810	42447	Bacteria	Bacillota	Clostridia	Eubacteriales	Proteinivoracaceae	Anaerobranca	NULL
Anaerophaga	https://doi.org/10.1128/jb.05719-11	177399	Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Anaerophaga	NULL
Aneurinibacillus	https://doi.org/10.1016/j.ijbiomac.2022.11.215	55079	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	NULL
Anoxybacillus	https://doi.org/10.1007/s11274-023-03583-7	150247	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Anoxybacillus	NULL
Aquifex	https://doi.org/10.1016/j.jbc.2024.105731	2713	Bacteria	Aquificota	Aquificia	Aquificales	Aquificaceae	Aquifex	NULL
Hydrogenobacter	https://doi.org/10.1371/journal.pone.0310595	939	Bacteria	Aquificota	Aquificia	Aquificales	Aquificaceae	Hydrogenobacter	NULL
Thermosulfidibacter	https://doi.org/10.1007/s12088-024-01214-9	412592	Bacteria	Thermosulfidibacterota	Thermosulfidibacteria	Thermosulfidibacterales	Thermosulfidibacteraceae	Thermosulfidibacter	NULL
Venenivibrio	https://doi.org/10.1038/s41467-023-43960-2	407997	Bacteria	Aquificota	Aquificia	Aquificales	Hydrogenothermaceae	Venenivibrio	NULL
Atrimonas	https://doi.org/10.1016/j.syapm.2024.126515	3149264	Bacteria	Atribacterota	Atribacteria	Atribacterales	Atrimonadaceae	Atrimonas	NULL
Azoarcus	https://doi.org/10.3389/fmicb.2017.00707	12960	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	NULL
Bacillus licheniformis	https://doi.org/10.1016/j.ijbiomac.2020.05.139	1402	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
Bacillus thermoamylovorans	https://doi.org/10.1007/s10295-017-1921-4	35841	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans
Bacillus methanolicus	https://doi.org/10.3389/fmicb.2016.01481	1471	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus methanolicus
Bacillus sporothermodurans	https://doi.org/10.1016/j.ijfoodmicro.2021.109318	46224	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia sporothermodurans
Bacillus cereus	https://doi.org/10.1016/j.ijfoodmicro.2021.109318	1396	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
Brevibacillus	https://doi.org/10.1099/ijsem.0.005154	55080	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	NULL
Caldalkalibacillus	https://doi.org/10.1016/j.bbrc.2021.08.059	379065	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldalkalibacillus	NULL
Caldibacillus	https://doi.org/10.3390/microorganisms10122375	1276290	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	NULL
Caldicellulosiruptor	https://doi.org/10.1074/jbc.ra118.007120	44000	Bacteria	Bacillota	NULL	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	NULL
Caldimicrobium	https://doi.org/10.1099/ijsem.0.000947	444090	Bacteria	Thermodesulfobacteriota	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Caldimicrobium	NULL
Caldimonas	https://doi.org/10.1016/j.mimet.2021.106375	196013	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Caldimonas	NULL
Caloramator	https://doi.org/10.1128/mra.00708-19	44258	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Caloramator	NULL
Calothrix	https://doi.org/10.1016/j.ympev.2022.107454	1186	Bacteria	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	NULL
Carboxydothermus	https://doi.org/10.1007/s00792-019-01091-x	129957	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	NULL
Chloroflexus	https://doi.org/10.1007/978-1-0716-3060-0_32	1107	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	NULL
Clostridium paradoxum	https://doi.org/10.1128/genomea.00229-16	29346	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Tepidibacteraceae	Alkalithermobacter	Alkalithermobacter thermoalcaliphilus
Clostridium thermobutyricum	https://doi.org/10.1128/genomea.00367-17	29372	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium thermobutyricum
Clostridium thermocellum	https://doi.org/10.1111/1751-7915.13580	1515	Bacteria	Bacillota	Clostridia	Acetivibrionales	Acetivibrionaceae	Acetivibrio	Acetivibrio thermocellus
Clostridium thermopalmarium	https://doi.org/10.1128/genomea.00338-18	29373	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium thermopalmarium
Clostridium thermosuccinogenes	https://doi.org/10.1128/aem.00363-18	84032	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium thermosuccinogenes
Deinococcus-Thermus	https://doi.org/10.1002/mbo3.119	1297	Bacteria	Deinococcota	NULL	NULL	NULL	NULL	NULL
Desulfacinum	https://doi.org/10.1007/s00792-019-01132-5	35836	Bacteria	Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfacinum	NULL
Desulfotomaculum	https://doi.org/10.1099/ijsem.0.001139	1562	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfotomaculaceae	Desulfotomaculum	NULL
Dictyoglomi	https://doi.org/10.3389/fmicb.2016.01979	68297	Bacteria	Dictyoglomota	NULL	NULL	NULL	NULL	NULL
