Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_009428885.1	Acidianus ambivalens	2283		DSM 3772	2019-10-30	SAMN13103967		DSM 3772	continental solfataric fields	Iceland		1986						haploid
GCA_009729015.1	Acidianus ambivalens	2283		LEI 10	2019-12-04	SAMN09933089		LEI 10	Solfataric mud from Leihnukur fissure in Iceland	Iceland: Leihnukur fissure	Missing	1984-08						haploid
GCA_003201835.2	Acidianus brierleyi	41673		DSM 1651	2020-03-10	SAMN09071529		DSM 1651	Drainage System from an acidic hot spring	USA: Yellowstone National Park, Wyoming	Missing	1966						haploid
GCA_003086435.1	Acidianus hospitalis	563177	SCGC AC-742_N10		2018-05-02	SAMN06968115	SCGC AC-742_N10		single cell amplified by MDA; Acidic hot spring	USA: Yellowstone National Park Hot spring NL01	44.7519 N 110.7288 W	2012-09-20						haploid
GCA_002116695.1	Acidianus manzaensis	282676		YN-25	2017-05-01	SAMN06640543		YN-25	volcanic hot spring	China: Tenchong Yunnan		2005-08						haploid
GCA_003201765.2	Acidianus sulfidivorans JP7	619593		JP7	2020-03-10	SAMN09071530		JP7	Edge of acidic hot spring	Papua New Guinea: Lihr Island	Missing	2002-05						haploid
GCA_011039725.1	Acidilobales archaeon	2268176	HyVt-154		2020-02-28	SAMN09638322	HyVt-154		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011041615.1	Acidilobales archaeon	2268176	HyVt-218		2020-02-29	SAMN09638393	HyVt-218		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011043295.1	Acidilobales archaeon	2268176	HyVt-181		2020-02-29	SAMN09638352	HyVt-181		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_000144915.1	Acidilobus saccharovorans 345-15	666510		345-15	2010-08-06	SAMN02603091		345-15	solfataric field of Uzon caldera	Russia: Kamchatka								haploid
GCA_003086325.1	Acidilobus sp. SCGC AC-742_E15	1987488	SCGC AC-742_E15		2018-05-02	SAMN06968113	SCGC AC-742_E15		single cell amplified by MDA; Acidic hot spring	USA: Yellowstone National Park Hot spring NL01	44.7519 N 110.7288 W	2012-09-20						haploid
GCA_003086315.1	Acidilobus sp. SCGC AC-742_M05	1987489	SCGC AC-742_M05		2018-05-02	SAMN06968114	SCGC AC-742_M05		single cell amplified by MDA; Acidic hot spring	USA: Yellowstone National Park Hot spring NL01	44.7519 N 110.7288 W	2012-09-20						haploid
GCA_001399695.1	Acidiplasma aeolicum	507754		V	2015-10-19	SAMN03274863		V	Hydrothermal pool	Italy: Vulcano Island		Unknown						haploid
GCA_001402945.1	Acidiplasma aeolicum	507754		VT	2015-10-22	SAMN04087216		VT	hydrothermal pool (sand/gravel)	Italy: Island Vulcano		2009						haploid
GCA_001402935.1	Acidiplasma cupricumulans	312540		BH2	2015-10-22	SAMN04087217		BH2	mineral sulfide ore	Myanmar		2006						haploid
GCA_002878135.1	Aciduliprofundum sp.	2060325	ARK-15		2018-01-11	SAMN08107308	ARK-15	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Arkashin hot spring	54.30 N 160.02 E	2004-08	not applicable					haploid
