Taxon	Name
Class	Hadesarchaea
Family	Sulfolobaceae
Genus	Acidianus
Genus	Archaeoglobus
Genus	Caldivirga
Genus	Thermoproteota
Genus	Desulfurococcus
Genus	Desulfurolobus
Genus	Euryarchaeota
Genus	Ferroplasma
Genus	Haloferax
Genus	Hyperthermus
Genus	Ignicoccus
Genus	Metallosphaera 
Genus	Methanococcus
Genus	Methanopyrus
Genus	Methanosarcina
Genus	Methanothermobacter
Genus	Nanoarchaeum
Genus	Nanopusillus
Genus	Picrophilus
Genus	Pyrobaculum
Genus	Pyrococcus
Genus	Pyrodictium
Genus	Pyrolobus
Genus	Staphylothermus
Genus	Stygiolobus
Genus	Sulfolobus
Genus	Sulfurisphaera
Genus	Thaumarchaeota
Genus	Thermocladium
Genus	Thermococcus
Genus	Thermoplasma
Genus	Thermoproteus
Genus	Vulcanisaeta
Order	Thermoproteales
Species	Aigarchaeota archaeon
Phylum	Bathyarchaeota
Phylum	Candidatus Brockarchaeota
Phylum	Geoarchaeota 
Phylum	Korarchaeota
Phylum	Candidatus Nezhaarchaeota 
