Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_000006805.1	Halobacterium salinarum NRC-1	64091		NRC-1; ATCC 700922	2001-01-09	SAMN02604216		NRC-1; ATCC 700922										haploid
GCA_000007005.1	Saccharolobus solfataricus P2	273057		P2	2002-11-25	SAMN02603227		P2										haploid
GCA_000007065.1	Methanosarcina mazei Go1	192952		Go1	2002-05-20	SAMN02603290		Go1										haploid
GCA_000007185.1	Methanopyrus kandleri AV19	190192		AV19	2002-04-03	SAMN02603235		AV19										haploid
GCA_000007225.1	Pyrobaculum aerophilum str. IM2	178306		IM2	2002-01-24	SAMN02604075		IM2										haploid
GCA_000007305.1	Pyrococcus furiosus DSM 3638	186497		DSM 3638	2002-02-27	SAMN02604284		DSM 3638										haploid
GCA_000007345.1	Methanosarcina acetivorans C2A	188937		C2A	2002-04-03	SAMN03081414		C2A										haploid
GCA_000008085.1	Nanoarchaeum equitans Kin4-M	228908		Kin4-M	2003-12-18	SAMN02603208		Kin4-M										haploid
GCA_000008265.1	Picrophilus oshimae DSM 9789	1122961		DSM 9790	2004-06-08	SAMN02603345		DSM 9790										haploid
GCA_000008645.1	Methanothermobacter thermautotrophicus str. Delta H	187420		Delta H	1999-12-22	SAMN02603244		Delta H										haploid
GCA_000008665.1	Archaeoglobus fulgidus DSM 4304	224325		DSM 4304	1999-12-22	SAMN02603985		DSM 4304										haploid
GCA_000009185.1	Haloquadratum walsbyi DSM 16790	362976		DSM 16790 = HBSQ001	2006-06-22	SAMEA3138195		DSM 16790 = HBSQ001										haploid
GCA_000009965.1	Thermococcus kodakarensis KOD1	69014		KOD1	2005-01-05	SAMD00061071		KOD1										haploid
GCA_000011005.1	Methanocella paludicola SANAE	304371		SANAE	2009-12-25	SAMD00060931		SANAE										haploid
GCA_000011085.1	Haloarcula marismortui ATCC 43049	272569		ATCC 43049	2004-11-02	SAMN02603385		ATCC 43049										haploid
GCA_000011105.1	Pyrococcus horikoshii OT3	70601		OT3	2004-05-11	SAMD00061090		OT3										haploid
GCA_000011125.1	Aeropyrum pernix K1	272557		K1	2006-10-11	SAMD00061092		K1										haploid
GCA_000011185.1	Thermoplasma volcanium GSS1	273116		GSS1	2004-05-11	SAMD00061089		GSS1										haploid
GCA_000011205.1	Sulfurisphaera tokodaii str. 7	273063		7	2004-05-11	SAMD00061096		7										haploid
