Taxon	Name	TaxID
Genus	Acidimicrobium	53634
Genus	Acidithiobacillus	119977
Genus	Aeribacillus	1055323
Genus	Anaerobranca	42447
Genus	Anaerophaga	177399
Genus	Aneurinibacillus	55079
Genus	Anoxybacillus	150247
Genus	Aquifex	2713
Phylum	Aquificae	200783
Phylum	Aquificota	200783
Genus	Ardenticatena	1382931
Class	Atribacteria	2847774
Genus	Azoarcus	12960
Species	Bacillus amyloliquefaciens	1390
Species	Bacillus licheniformis	1402
Species	Bacillus megaterium	1404
Species	Bacillus sporothermodurans	46224
Species	Bacillus stearothermophilus	1422
Species	Bacillus subtilis	1423
Genus	Brevibacillus	55080
Genus	Caldalkalibacillus	379065
Genus	Caldibacillus	1276290
Genus	Caldicellulosiruptor	44000
Genus	Caldimicrobium	444090
Genus	Caldimonas	196013
Genus	Caloramator	44258
Genus	Calothrix	1186
Genus	Candidatus Acetithermum	1446465
Phylum	Candidatus Aminicenantota	67817
Phylum	Candidatus Omnitrophota	67812
Genus	Carboxydibrachium	249529
Genus	Carboxydothermus	129957
Species	Cellvibrio mixtus	39650
Family	Chloroflexaceae	1106
Genus	Chloroflexus	1107
Species	Clostridium paradoxum	29346
Species	Clostridium thermobutyricum	29372
Species	Clostridium thermocellum	1515
Species	Clostridium thermopalmarium	29373
Species	Clostridium thermosuccinogenes	84032
Genus	Cyanidium	2770
Genus	Deinococcus	1298
Phylum	Deinococcus-Thermus	1297
Genus	Desulfacinum	35836
Genus	Desulfotomaculum	1562
Genus	Desulfovibrio	872
Phylum	Dictyoglomi	68297
Genus	Dictyoglomus	13
Genus	Fervidibacter	1448928
Genus	Fervidobacterium	2422
Species	Fischerella thermalis	372787
Genus	Galdieria	83373
Genus	Geobacillus	129337
Genus	Geothermobacterium	169299
Genus	Gloeomargarita	1188227
Genus	Hydrogenobacter	939
Genus	Hydrogenobaculum	168657
Genus	Lutaonella	488548
Genus	Lyngbya	28073
Genus	Lysinibacillus	400634
Genus	Mastigocladus	29417
Genus	Meiothermus	65551
Family	Methylothermaceae	1486721
Genus	Moorella	44260
Family	Neosynechococcaceae	3079750
Genus	Nitrolancea	1206748
Genus	Nitrospina	35800
Genus	Nitrospira	1234
Genus	Oceanobacillus	182709
Species	Opitutus terrae	107709
Genus	Oscillatoria	1158
Genus	Paenibacillus	44249
Genus	Peptococcus	2740
Genus	Phormidium	1198
Family	Pseudanabaenaceae	1890436
Genus	Raineya	2071614
Genus	Rhodothermus	29548
Family	Roseiflexaceae	1508635
Genus	Roseiflexus	120961
Genus	Schleiferia	1333716
Genus	Sphaerobacter	2056
Genus	Sphingobacterium	28453
Species	Streptococcus thermophilus	1308
Genus	Sulfobacillus	28033
Genus	Sulfurihydrogenibium	212790
Genus	Symbiobacterium	2733
Genus	Synechococcus	1129
Class	Tepidiformia	2682225
Family	Tepidisphaeraceae	1771355
Genus	Thermaerobacter	73918
Genus	Thermanaerovibrio	81461
Genus	Thermoactinospora	1424614
Genus	Thermoanaerobacter	1754
Genus	Thermoanaerobacterium	28895
Genus	Thermobifida	83677
Genus	Thermocrinis	75905
Class	Thermodesulfobacteria	67799
Genus	Thermodesulfobacterium	1740
Species	Thermodesulforhabdus norvegica	39841
Class	Thermodesulfovibrionia	2811502
Genus	Thermoflavifilum	1649506
Class	Thermoflexia	1495646
Genus	Thermogemmata	2787008
Order	Thermogemmatisporales	768667
Genus	Thermogutta	1676125
Class	Thermolithobacteria	455491
Genus	Thermomicrobium	499
Genus	Thermonema	28194
Genus	Thermopolyspora	359169
Genus	Thermorudis	1649508
Genus	Thermostichus	2881385
Genus	Thermostilla	1755820
Genus	Thermosynechococcus	146785
Family	Thermosynergistaceae	2880999
Genus	Thermotoga	2335
Phylum	Thermotogota	200918
Genus	Thermovirga	336260
Family	Thermovirgaceae	3029089
Genus	Thermus	270
