Accession	Organism_Name	TaxID_Original	TaxID_Domain	TaxID_Phylum	TaxID_Class	TaxID_Order	TaxID_Family	TaxID_Genus	TaxID_Species	TaxID_Subspecies
GCA_000006805.1	Halobacterium salinarum NRC-1	64091	2157	28890	183963	2235	2236	2239	2242	2886895
GCA_000007005.1	Saccharolobus solfataricus P2	273057	2157	28889	183924	2281	118883	2100760	2287	273057
GCA_000007065.1	Methanosarcina mazei Go1	192952	2157	28890	224756	94695	2206	2207	2209	192952
GCA_000007185.1	Methanopyrus kandleri AV19	190192	2157	28890	183988	68985	183713	2319	2320	190192
GCA_000007225.1	Pyrobaculum aerophilum str. IM2	178306	2157	28889	183924	2266	2267	2276	13773	178306
GCA_000007305.1	Pyrococcus furiosus DSM 3638	186497	2157	28890	183968	2258	2259	2260	2261	186497
GCA_000007345.1	Methanosarcina acetivorans C2A	188937	2157	28890	224756	94695	2206	2207	2214	188937
GCA_000008085.1	Nanoarchaeum equitans Kin4-M	228908	2157	192989	2885752	1890940	1890941	193568	160232	228908
GCA_000008265.1	Picrophilus oshimae DSM 9789	1122961	2157	2283796	183967	2301	46630	46631	46632	1122961
GCA_000008645.1	Methanothermobacter thermautotrophicus str. Delta H	187420	2157	28890	183925	2158	2159	145260	145262	187420
GCA_000008665.1	Archaeoglobus fulgidus DSM 4304	224325	2157	28890	183980	2231	2232	2233	2234	224325
GCA_000009185.1	Haloquadratum walsbyi DSM 16790	362976	2157	28890	183963	2235	1644056	293431	293091	362976
GCA_000009965.1	Thermococcus kodakarensis KOD1	69014	2157	28890	183968	2258	2259	2263	311400	69014
GCA_000011005.1	Methanocella paludicola SANAE	304371	2157	28890	224756	570264	570265	570266	570267	304371
GCA_000011085.1	Haloarcula marismortui ATCC 43049	272569	2157	28890	183963	2235	1963268	2237	2238	272569
GCA_000011105.1	Pyrococcus horikoshii OT3	70601	2157	28890	183968	2258	2259	2260	53953	70601
GCA_000011125.1	Aeropyrum pernix K1	272557	2157	28889	183924	114380	2272	56635	56636	272557
GCA_000011185.1	Thermoplasma volcanium GSS1	273116	2157	2283796	183967	2301	46659	2302	50339	273116
GCA_000011205.1	Sulfurisphaera tokodaii str. 7	273063	2157	28889	183924	2281	118883	69655	111955	273063
GCA_000011585.1	Methanococcus maripaludis S2	267377	2157	28890	183939	2182	2183	2184	39152	267377
GCA_000012285.1	Sulfolobus acidocaldarius DSM 639	330779	2157	28889	183924	2281	118883	2284	2285	330779
GCA_000012545.1	Methanosphaera stadtmanae DSM 3091	339860	2157	28890	183925	2158	2159	2316	2317	339860
GCA_000013445.1	Methanospirillum hungatei JF-1	323259	2157	28890	224756	2191	196137	2202	2203	323259
