GCA_000013205.1	top 2mm of microbial mat from collected 51-61 deg C temperature site in the Octopus Spring effluent channel, Yellowstone National Park
GCA_000092125.1	hot spring
GCA_000092405.1	anaerobic granular sludge, thermophilic UASB reactor
GCA_000092425.1	hot spings runoff
GCA_000092965.1	hot spring
GCA_000147355.1	deep-sea sediments at the Hatoma Knoll in the Mid-Okinawa Trough hydrothermal field
GCA_000147695.3	freshwater hot spring
GCA_000164905.1	soil near hot spring
GCA_000166355.1	terrestrial neutral geothermal spring
GCA_000166695.1	hot spring biomat
GCA_000166775.1	terrestrial neutral geothermal spring
GCA_000168735.1	collected between 9deg N and 13deg N of the East Pacific Rise (EPR) hydrothermal vent system during the HOT-96 cruise
GCA_000174795.2	Obsidian Hot Spring in Yellowstone National Park
GCA_000174915.1	biofilm grown on glass slides submerged in a non-chlorinated drinking water reservoir
GCA_000179815.2	mine water
GCA_000183405.1	terrestrial hot spring
GCA_000183745.1	deep sea hot vent
GCA_000184345.2	marine hot spring
GCA_000185805.1	walls of an active deep-sea hydrothermal vent chimney on the East Pacific Rise at 9 degrees 50' N
GCA_000186245.1	deep-sea hydrothermal vent chimney from the Iheya North hydrothermal field in the Mid-Okinawa Trough
GCA_000186345.1	algal mat from Kah-nee-tah hot spring
GCA_000189775.3	Frying Pan Springs (thermal spring)
GCA_000190435.1	marine hot spring
GCA_000191045.1	deep-sea hydrothermal vent chimney
GCA_000192295.2	Mud from alkaline hot spring
GCA_000193435.3	hot spring
GCA_000194135.1	marine sediment from hot vent of tidal zone
GCA_000195335.1	deep-sea hydrothermal vent chimney sample, 1,385 m depth
GCA_000205145.2	pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing
GCA_000211795.2	modern stromatolite community from Socompa lake (3800 m altitude) near the active volcano Socompa
GCA_000212395.1	hot spring
GCA_000213785.1	Dragon spring, acid-sulfate-chloride geothermal spring, from yellow elemental sulfur (SO) deposition zone and brown, Fe-oxyhydroxide zone
GCA_000214705.1	underground thermal mineral water
GCA_000217795.1	deep-sea hydrothermal vent site at the Kairei vent field in the Central Indian Ridge
GCA_000217815.1	continental solfataric spring, Lac Abbe
GCA_000219725.1	Hunter's Hot Spring
GCA_000219855.1	hydrothermal vent
GCA_000219875.1	hot spring
GCA_000220155.2	offshore hot spring sediment
GCA_000224455.2	trophosome tissue of the deep-sea tubeworm Riftia pachyptila; host species originated from Ph05 vent at 13 N East Pacific Rise
GCA_000224925.2	trophosome tissue of the deep-sea tubeworm Tevnia jerichonana; host species originated from Tica vent at 9deg 50' N East Pacific Rise
GCA_000225005.2	hot spring microbial mat on Paoha Island in Mono Lake, CA
GCA_000225525.2	soil from a zinc and copper mine
GCA_000227725.3	Lake Malyi Kasytui, a shallow soda reservoir
GCA_000233975.2	zinc-lead mine tailing
GCA_000233995.2	nodules of Robinia pseudoacacia in mine tailing
GCA_000235405.3	mud of hot spring spa
GCA_000235725.2	soil of a gold mine
GCA_000235805.2	pasture gramineae
GCA_000237825.1	Cyanobacterial mat of hot spring; Russia, Kamchatka, Uzon caldera
GCA_000241815.1	Deep-sea hydrothermal chimney sample collected at a vent site at 14 degrees 45' N, 44 degrees 59' W on the Mid-Atlantic Ridge
GCA_000250735.2	oil reservoir produced water
GCA_000252835.2	hot spring
GCA_000255135.1	deep-sea hydrothermal vent chimney at a depth of 2630 meters on the East-Pacific Rise
GCA_000255575.2	soil samples obtained at the hot springs from Yellowstone National Park
GCA_000257545.3	natural mineral water
GCA_000258125.2	soil from Yingcheng Salt Mine
GCA_000258245.1	fresh water hot spring
GCA_000262365.1	pink acid mine drainage (AMD)-air interface biofilm; microbial community collected from a pool (about 0.8 m deep, about 5 m wide) of AMD solution at pH 0.7-1.2, Temperature=40-43C that slowly drained through a pyrite pile
GCA_000262445.1	Hydrothermal vent
GCA_000263395.1	highly arsenic-contaminated soil from metal (gold, copper, iron) mines
GCA_000279145.1	microbial mat, developing on the wooden surface of a chute, under the flow of hot water coming from an oil exploring well
GCA_000282995.1	melamine production wastewater
GCA_000283415.2	hot spring
GCA_000284835.1	hot spring water
GCA_000292865.1	water from Rimov reservoir
GCA_000293865.2	water from Rimov reservoir
GCA_000294675.1	hot spring sludge
GCA_000306035.1	geothermal lake
GCA_000308135.1	seawater from hypothermal vent
GCA_000313345.1	hot spring
GCA_000316645.1	moderate hot spring, Amparai District, Maha Oya, Sri Lanka, 1973
GCA_000317025.1	spring water (Hunter's hot spring)
GCA_000317205.1	water, hot spring
GCA_000317225.1	water, hot spring, Mammoth Sinkhole II
GCA_000317265.1	water, thermal spring
GCA_000317555.1	moderate hot spring
GCA_000346275.1	hot spring
GCA_000347575.1	in situ cellulolytic enrichments in hot spring GBS
GCA_000347775.1	shallow, ferruginous, marine hydrothermal sediment
GCA_000348925.1	mud volcano soil sample
GCA_000353425.1	hot spring
GCA_000353565.1	hot spring
GCA_000376225.1	geothermal soil of the north-west slope of Mount Melbourne
GCA_000379485.1	Sediment of an oilfield
GCA_000379685.1	Soil of gold mine cave; Korea, Kongju
GCA_000387765.1	mineralizing microbial mat of hypersaline lake 21
GCA_000401915.1	hot region of horse manure compost (70-80C)
GCA_000421885.1	hot springs
GCA_000443775.1	hot spring
GCA_000470885.1	sediment contaminated with chlorinated solvents
GCA_000473865.1	hot spring
GCA_000496075.1	mud volcano
GCA_000498995.1	hot springs
GCA_000500915.1	5 liters of water from the Tucurui Power Plant Reservoir, point M5 collected 50cm beneath the lake surface, then filtered by negative pressure for posterior culture in BG-11 medium
GCA_000503195.1	5 liters of water from the Tucurui Power Plant Reservoir, point M5 collected 50cm beneath the lake surface, then filtered by negative pressure for posterior culture in BG-11 medium
GCA_000503215.1	agricultural soil under long-term mineral fertilization
GCA_000505665.1	Nakabusa hot spring
GCA_000512105.1	hot spring
GCA_000517565.1	hot spring
GCA_000576635.1	coal mine
GCA_000603945.1	iron mine of Hongshan
GCA_000619805.1	Subsurface hot aquifer water from Japanese gold mine
GCA_000633595.2	coal mine pond sediment
GCA_000685135.1	endotracheal tube biofilm of a mechanically ventilated patient
GCA_000687145.1	hot spring
GCA_000695975.1	acid mine drainage
GCA_000708185.1	Sediments of hot water spring
GCA_000708525.1	5 liters of water from the Tucurui Power Plant Reservoir, point M5 collected 50cm beneath the lake surface, then filtered by negative pressure for posterior culture in BG-11 medium
GCA_000709715.1	Chilean copper mine
GCA_000724175.1	microbial mat from hot spring
GCA_000724585.1	hot springs
GCA_000724705.2	isolated from water of a pilot treatment plant for acidic mine drainage
GCA_000725405.1	hot spring
GCA_000734015.1	Sediment of Ink Pot Hot Spring
GCA_000735045.1	mine drainage stream
GCA_000735195.1	phototrophic microbial mat
GCA_000736515.1	hot spring phototrophic microbial mat, red layer
GCA_000736715.1	Microbial Mat of Hot Spring
GCA_000739255.1	sulfur dynamo in the phototrophic plate of a meromictic lake
GCA_000739265.1	sulfur dynamo in the phototrophic plate of a meromictic lake
GCA_000743495.1	sediment from Garga hot spring located in the valley of the river Barguzin (the Baikal region)
GCA_000747155.1	iron mine
GCA_000749985.1	Garga hotspring sediments
GCA_000750005.2	hot spring sediments
GCA_000750655.1	geothermally heated, continental, low salinity fields
GCA_000753775.1	hot-spring sediments
GCA_000753835.1	hot spring
GCA_000753855.1	Hot-spring sediments
GCA_000753875.1	Hot-spring sediments
GCA_000753945.1	single-cell amplified by MDA; produced oilfield water
GCA_000754095.2	shallow geothermally heated seafloor
GCA_000754425.1	water column of the freshwater reservoir Embalse de Amadorio in Spain
GCA_000754435.1	water column of the freshwater reservoir Embalse de Amadorio in Spain
GCA_000754445.1	water column of the freshwater reservoir Embalse de Amadorio in Spain
GCA_000754455.1	water column of the freshwater reservoir Embalse de Amadorio in Spain
GCA_000754505.1	water column of the freshwater reservoir Embalse de Amadorio in Spain
GCA_000754585.1	water column of the freshwater reservoir Embalse de Amadorio in Spain
GCA_000754605.1	water column of the freshwater reservoir Embalse de Amadorio in Spain
GCA_000757505.1	decaying wood from a thermal pond
GCA_000757525.1	decaying wood from a thermal pond
GCA_000759385.1	cell culture from sample originally received in 1967 from doctor Lemcke R.M. collection (Lister Inst. Of Preventive medicine, London C.W.I.)
GCA_000759655.1	acid mine drainage
GCA_000761095.1	hydrothermal sulfide sample in the Southwest Indian Ridge
GCA_000761235.1	coal mine
GCA_000761255.1	coal mine
GCA_000761265.1	coal mine
GCA_000761315.1	coal mine
GCA_000761335.1	soil from an antimony mine
GCA_000761355.1	soil from an iron mine
GCA_000761375.1	soil from a sulfur copper iron tungsten mine
GCA_000761395.1	soil from an iron mine
GCA_000761495.1	Mercury mine soil
GCA_000763315.1	high temperature Daqu for fermentation of Bandongjing Sesame-flavor liquor
GCA_000765845.2	not determined
GCA_000767175.1	subsurface soil of Tianjin coal mine
GCA_000767275.4	hot spring water sample
GCA_000768335.1	iron mine
GCA_000770375.1	hot spring
GCA_000771745.2	hot spring
GCA_000784785.1	deep subsurface oil reservoir
GCA_000784795.1	deep subsurface oil reservoir
GCA_000784825.1	deep subsurface oil reservoir
GCA_000784835.1	marine hydrothermal vent
GCA_000785645.1	hot water
GCA_000786105.1	microbial mats from Manikaran Hot Springs
