Assembly Accession	Assembly BioSample Isolation source
GCF_009729015.1	Solfataric mud from Leihnukur fissure in Iceland
GCF_009428885.1	continental solfataric fields
GCA_009428885.1	continental solfataric fields
GCA_009729015.1	Solfataric mud from Leihnukur fissure in Iceland
GCF_003201835.2	Drainage System from an acidic hot spring
GCA_003201835.2	Drainage System from an acidic hot spring
GCA_003086435.1	single cell amplified by MDA; Acidic hot spring
GCA_046533895.1	hot spring sediments from shelf
GCF_000213215.1	
GCA_000213215.1	
GCF_009729545.1	Fissure at Pisciarelli solfatara near Naples, Italy
GCF_041748595.1	travertine gravel
GCA_009729545.1	Fissure at Pisciarelli solfatara near Naples, Italy
GCA_026626945.1	acidic hydrothermal system
GCA_026626965.1	acidic hydrothermal system
GCA_041748595.1	travertine gravel
GCF_002116695.1	volcanic hot spring
GCA_002116695.1	volcanic hot spring
GCF_046534395.1	hot spring sediments from shelf
GCF_046537415.1	hot spring sediments from shelf
GCA_032248955.1	Sediment Sample from 'Red Bubbler' Spring
GCA_032249015.1	Sediment Sample from 'Red Bubbler' Spring
GCA_046533515.1	hot spring sediments from shelf
GCA_046534395.1	hot spring sediments from shelf
GCA_046537415.1	hot spring sediments from shelf
GCF_021655615.1	
GCA_021655615.1	
GCF_013133895.1	hot spring
GCA_013133895.1	hot spring
GCF_003201765.2	Edge of acidic hot spring
GCA_003201765.2	Edge of acidic hot spring
GCA_025058835.1	brown biofilm from alkaline hot spring
GCA_026413755.1	alkaline hot spring water
GCA_026414065.1	alkaline hot spring water
GCA_026985385.1	marine hydrothermal vent
GCA_026985435.1	marine hydrothermal vent
GCA_026986415.1	marine hydrothermal vent
GCA_026989585.1	marine hydrothermal vent
GCA_026991435.1	marine hydrothermal vent
GCA_026995555.1	marine hydrothermal vent
GCA_026996065.1	marine hydrothermal vent
GCA_026997765.1	marine hydrothermal vent
GCA_026998335.1	marine hydrothermal vent
GCA_026998395.1	marine hydrothermal vent
GCA_026998455.1	marine hydrothermal vent
GCA_026998535.1	marine hydrothermal vent
GCA_026998955.1	marine hydrothermal vent
GCA_026999645.1	marine hydrothermal vent
GCA_027000715.1	marine hydrothermal vent
GCA_027006065.1	marine hydrothermal vent
GCA_027006115.1	marine hydrothermal vent
GCA_027006525.1	marine hydrothermal vent
GCA_027008495.1	marine hydrothermal vent
GCA_027011285.1	marine hydrothermal vent
GCA_027013485.1	marine hydrothermal vent
GCA_027013765.1	marine hydrothermal vent
GCA_027014125.1	marine hydrothermal vent
GCA_027014765.1	marine hydrothermal vent
GCA_027018115.1	marine hydrothermal vent
GCA_027018125.1	marine hydrothermal vent
GCA_027018965.1	marine hydrothermal vent
GCA_027021835.1	marine hydrothermal vent
GCA_027022005.1	marine hydrothermal vent
GCA_027022405.1	marine hydrothermal vent
GCA_027026585.1	marine hydrothermal vent
GCA_027026965.1	marine hydrothermal vent
GCA_027028255.1	marine hydrothermal vent
GCA_027032845.1	marine hydrothermal vent
GCA_027033765.1	marine hydrothermal vent
GCA_027034115.1	marine hydrothermal vent
GCA_027035935.1	marine hydrothermal vent
GCA_027037535.1	marine hydrothermal vent
GCA_027037905.1	marine hydrothermal vent
GCA_027038355.1	marine hydrothermal vent
GCA_027039295.1	marine hydrothermal vent
GCA_027042585.1	marine hydrothermal vent
GCA_027042745.1	marine hydrothermal vent
GCA_027042915.1	marine hydrothermal vent
GCA_027043265.1	marine hydrothermal vent
GCA_027043525.1	marine hydrothermal vent
GCA_027043945.1	marine hydrothermal vent
GCA_027044005.1	marine hydrothermal vent
GCA_027044035.1	marine hydrothermal vent
GCA_027046065.1	marine hydrothermal vent
GCA_027046245.1	marine hydrothermal vent
GCA_027046645.1	marine hydrothermal vent
GCA_027046665.1	marine hydrothermal vent
GCA_027048755.1	marine hydrothermal vent
GCA_027048795.1	marine hydrothermal vent
GCA_027048895.1	marine hydrothermal vent
GCA_027049455.1	marine hydrothermal vent
GCA_027051095.1	marine hydrothermal vent
GCA_027051365.1	marine hydrothermal vent
GCA_027051505.1	marine hydrothermal vent
GCA_027052065.1	marine hydrothermal vent
GCA_027052075.1	marine hydrothermal vent
GCA_027053395.1	marine hydrothermal vent
GCA_027053815.1	marine hydrothermal vent
GCA_027054205.1	marine hydrothermal vent
GCA_027057815.1	marine hydrothermal vent
GCA_027059195.1	marine hydrothermal vent
GCA_027060045.1	marine hydrothermal vent
GCA_027061075.1	marine hydrothermal vent
GCA_027069465.1	marine hydrothermal vent
GCA_027071635.1	marine hydrothermal vent
GCA_027071655.1	marine hydrothermal vent
GCA_027071675.1	marine hydrothermal vent
GCA_027071735.1	marine hydrothermal vent
GCA_027072335.1	marine hydrothermal vent
GCA_027072565.1	marine hydrothermal vent
GCA_027075695.1	marine hydrothermal vent
GCA_027077985.1	marine hydrothermal vent
GCA_027078185.1	marine hydrothermal vent
GCA_027078975.1	marine hydrothermal vent
GCA_027080775.1	marine hydrothermal vent
GCA_027081695.1	marine hydrothermal vent
GCA_027082695.1	marine hydrothermal vent
GCA_027082825.1	marine hydrothermal vent
GCA_027101415.1	marine hydrothermal vent
GCA_028276165.1	Hot spring water
GCA_036781425.1	water
GCA_038735695.1	Hot spring sediment
GCA_038736035.1	Hot spring sediment
GCA_038740805.1	Hot spring sediment
GCA_038741265.1	Hot spring sediment
GCA_038821345.1	Hot spring sediment
